"","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km."
"110","Broken Hill","6 Casuarina Avenue, Broken Hill","$165,000"," 1"," 3",747.5,1126.84
"111","Kelso","90 Cornish St, Broken Hill","$75,000"," 1"," 3",147.9,180.4
"112","Springfield","7 Walker Crescent, Wellington","Auction"," 1"," 3",66.4333333333333,70.3
"113","Cumnock","44-46 Coreen Street, Oaklands","$90,000"," 1"," 2",234.65,297.163
"114","Oberon","191 Farnell Street, Forbes","$160,000"," 1"," 3",152.283333333333,172.362
"115","Broken Hill","36 Stewart Street, Kandos","$140,000"," 1"," 1",747.5,1126.84
"116","Broken Hill","6 BUNA STREET, Orange","$168,000"," 1"," 3",747.5,1126.84
"117","Broken Hill","Site 6/419 Tarean Road, Karuah","$85,500"," 1"," 1",747.5,1126.84
"118","Aberdeen","Windmill Hill E - Stage 9 & 10, Tamworth","From $140,000"," 2"," 4",178.466666666667,251.816
"119","Lockhart","Stage 6 Redbank Estate - Calala, Tamworth","From $139,000"," 2"," 4",319.516666666667,519.498
"120","Pooncarie","464 Wyman Lane, Broken Hill","$110,000"," 1"," 3",703,1137.758
"121","Broken Hill","7 Hampden Street, Finley","$99,000"," 2"," 3",747.5,1126.84
"122","Coonamble","3 Muir Place, St Andrews","$630,000 - $670,000"," 1"," 4",371.333333333333,517.207
"123","Broken Hill","37 Gunn Street, Wentworth","$96,000 to $105,000"," 1"," 3",747.5,1126.84
"124","South Grafton","250/221 Hastings River Drive, Port Macquarie","$169,000"," 1"," 3",380.516666666667,597.104
"125","Turramurra","328 Edward Street, Moree","$80,000"," 1"," 2",28.3,23.022
"126","Broken Hill","2 South Street, Culcairn","$159,000"," 1"," 2",747.5,1126.84
"127","Coonamble","62 Murray Street, Wentworth","$165,000 - $172,000"," 1"," 3",371.333333333333,517.207
"128","Broken Hill","Stage 9 & 10 Windmill Hill Estate, Tamworth","From $140,000"," 2"," 4",747.5,1126.84
"129","Scone","17  Kokoda Street, Orange","$160,000"," 1"," 2",191.116666666667,265.882
"130","Kooringal","18 Young Street, Deepwater, Glen Innes","$105,000"," 1"," 1",275,455.478
"131","Broken Hill","7/12-30 Duffys Road, Terrigal","Price Guide $175,000"," 1"," 2",747.5,1126.84
"132","Port Macquarie","115C Woodrow Place, Figtree","$150,000"," 1"," 2",245.05,374.344
"133","South Grafton","Cabin 18,2940 Salisbury Road(Barrington Cottages),Salisbury Via, Dungog","$110,000"," 1"," 2",380.516666666667,597.104
"134","Winston Hills","11 Friel Street, Buronga","$155,000 - $170,000"," 1"," 2",11.8333333333333,8.122
"135","Broken Hill","2/8 Goruk Close, Muswellbrook","Buyer Guide $170,000 - $180,000"," 1"," 2",747.5,1126.84
"136","Kelso","23 Glasson Street, Quandialla","REDUCED to $157,500"," 1"," 4",147.9,180.4
"137","Springfield","29 Lindsay Street, Woodenbong","$90,000"," 1"," 1",66.4333333333333,70.3
"138","Cumnock","23-25 Gill Street, Bonalbo","$49,000"," 1"," 2",234.65,297.163
"139","Oberon","25 Iris Street, Gilgandra","$65,000"," 1"," 1",152.283333333333,172.362
"140","Broken Hill","56/36 Golding Street, Yamba","$150,000"," 1"," 2",747.5,1126.84
"141","Broken Hill","9 William Street, Wellington","$79,500"," 1"," 3",747.5,1126.84
"142","Broken Hill","10 Cross Street, Glen Innes","$120,000"," 1"," 2",747.5,1126.84
"143","Aberdeen","163 Williams Street, Broken Hill","$105,000"," 1"," 3",178.466666666667,251.816
"144","Lockhart","15 Collins Avenue, Dubbo","$148,000"," 1"," 3",319.516666666667,519.498
"145","Pooncarie","100 Taylors Rd, Norfolk Island","Unique Real Estate Opportunity $70,000"," 2"," 1",703,1137.758
"146","Broken Hill","68 Wollombi Road, Muswellbrook","$160,000"," 1"," 3",747.5,1126.84
"147","Coonamble","72 Jellicoe Street, Temora","$165,000"," 1"," 2",371.333333333333,517.207
"148","Broken Hill","22 Goodwill, Condobolin","$175,000"," 1"," 3",747.5,1126.84
"149","South Grafton","23 Elm Street, Tamworth","$159,000"," 1"," 3",380.516666666667,597.104
"150","Turramurra","3 Myrtle Drive, Armidale","$150,000"," 1"," 1",28.3,23.022
